ID;FR;EN;ZH
CombatE1B1RJ3;Je me moque de ton dieu et de ton diable comme d'une guigne ! Si même eux ne peuvent pas m'arrêter, je doute que tu le puisses ! Hors de mon chemin !;Where is this devil? Where is your Lord? I have seen neither. Perhaps they don't exist. Perhaps you should get out of my way.;魔鬼在哪里？你的主在哪里？我都没见过 也许他们根本不存在 也许你该让开
CombatE1B1F1;Le Seigneur m'a conduit de sa mission divine, m'interdisant de laisser les âmes égarées se perdre face au Malin ! Je suis le bras armé du Seigneur et ma mission est irrévocable, dussé-je te forcer à rester ici contre ton gré !;I'm the arm of our Lord. I cannot stand idly by while a soul damns itself.  I shall stop you here, by force if I need to.;我是上帝的臂膀 我不能袖手旁观 看着灵魂自取灭亡 我会在这里阻止你 必要时我会用武力
CombatE1B1F2;Tu oses blasphémer devant moi ?! Je devrais t'envoyer dans les torrents infernaux pour te châtier ! Sois-tu sot ou téméraire, je prie pour que le Seigneur soit miséricordieux avec ton âme, car je vais te renvoyer à lui !;Be it out of foolishness or recklessness, I should send you to the infernal torrents. May the Lord forgive you your blasphemies, for I am not as generous and will send Him your wretched soul right now!;愿上帝宽恕你的亵渎。我现在就把你可悲的灵魂送去见他
CombatE1B1RJ4;Ton enfer ne me fait pas peur, rien ne pourra être pire que les batailles que j'ai affrontées. Écarte-toi, je suis déjà prêt.;I've been through enough hell when I was alive. What's a little more? How hard can it be?;我活着的时候经历的地狱够多了 再多一点又如何？能有多难？
CombatE1B1RE2;Ton ignorance n'est que malice, tu ne sais rien des combats que nous avons menés ! Nous nous sommes battus sans relâche pour faire de cet endroit ce qu'il est aujourd'hui, à la gloire du Seigneur ! Je ne te laisserai pas passer !;You are ignorant. You are foolish. Our Lord have mercy on your soul. I will not let you pass little lamb. We have worked far too hard to make this place the way it is now. ;你太无知了 你太愚蠢了 愿主怜悯你的灵魂 我不会让你通过的 小羔羊 我们付出了太多的努力 才让这里变成现在这个样子
CombatE1B1RJ5;Mais bon sang, pourquoi ?! Passer ou rester ne concerne que moi ! Je ne vous laisserai pas m'empêcher d'accéder à ma nouvelle vie !;But strange maiden, why, bloody hell, why? Why would you be concerned by my passage through these lands? No matter the reason, I won't let you prevent me from accessing a new life!  ;如果你不让我继续我的旅程 那我就只能把你当成障碍和绊脚石了 如果你挡了我的路，你就会被毁灭。
CombatE1B1RJ6;Attendez, n'est-ce pas ici le domaine des dieux, infini, immuable et éternel ? Avez-vous osé l'altérer ? Pourquoi ?!;You worked hard to make God's paradise the way it is now? Was your Lord too weak and stupid to do it himself?;你辛辛苦苦把上帝的乐园变成了现在这个样子？难道你的主太软弱、太愚蠢，不能亲自动手吗？
CombatE1B1F3;Si tu venais à descendre, tu disparaitrais et ton âme enfournée les renforcerait encore plus, que tu le veuilles ou non ! Ignorance ou inconscience ne sont point vertus, je garderai cette voie ! Seigneur guidez ma lame, et qu'il disparaisse de ma vue !;Your soul would end up fuelling them and they would only grow stronger, you do not realise the consequences of your ignorance and recklessness! I shall keep my ways, Lord, guide my sword and have him disappear from these holy grounds!;我试着跟你讲道理，但你已经无能为力了。你的亵渎已经让你无可救药。你现在一文不值 也许你的牺牲能让你得到救赎 主啊，请指引我的刀锋，让我为你献上另一份祭品。
CombatE1B1F4;Ignorant ! Cet endroit était un champ de ruines avant ! Nous nous sommes battus pour ce sol sacré et avons restauré la présence de Dieu en ces lieux ! À présent, Seigneur guidez ma lame, aidez-moi à protéger ce qui est votre !;Foolish creature. This place was but ashes and bones before the armies of the Lord have restored His presence upon these holy lands. Now, Lord, guide my hand and help me protect what is yours!  ;你不知道自己说了什么，也不知道自己侮辱了谁。你一文不值。主啊，请指引我的刀锋，我将为你献上另一份祭品。
CombatE1B1RJ7;Je préfère mourir un millier de morts plutôt que de croupir d'immobilité dans ce lieu étrange. Je ne suis pas le bienvenu ici, et je ne souhaite pas l'être. Si tu ne me laisses pas passer, je forcerai le chemin.;I would rather die a thousand deaths than rot in immobility in this eery place. I am not welcome here, nor do I wish to be. Shall you not free the way, I will force it open myself.;
CombatE1B1RE3;Le malin t'a touché, et son chaos t'habite. Mais Dieu t'aime, tu es son enfant et tu peux connaitre la paix ici si tu laisses Sa lumière pénétrer ton coeur.;The Devil's caress is upon you and his chaos is inhabiting your soul. But God loves you, as you are His child. You shall know peace in these heavens if you let His light enter your heart.    ;
CombatE1B1RJ8;Peuh ! Mon père n'est pas un dieu faible qui demande à ses hommes de se battre à sa place. Je ne connais pas d'autre père que celui qui m'a fait naître et m'a forgé pour être qui je suis et mener mes plus belles batailles.;Heh ! My father isn't a weakling, requiring for men to fight in his name. I don't know another father than the one who birthed and forged me to be who I am and fight my most glorious battles!;
CombatE1B1RJ9;Ton dieu ne fait pas partie des miens. Il en est peut-être un avatar, mais je ne suis pas à ma place dans un lieu qui ne les représente pas tous à leur juste place. ;Your god isn't one of mine. He might be an avatar, but I do not belong in a place that isn't representing them all in their glory. ;
CombatE1B1F5;Puisque tu n'es pas prêt à recevoir Son amour, tu recevras Sa colère. Ta lame et ta lame sont tournées dans la mauvaise direction, brebis égarées, mais je te les ferais ravaler en même temps que ton arrogance !;You refuse His love and will suffer His wrath. Both your sword and your soul are headed in the wrong direction, but you'll choke on them both when I'll have you swallow your arrogance!;
CombatE1B1F6;Hérésie ! Dieu est unique et tout-puissant, comment oses-tu même mentionner ces idées barbares en ce lieu saint ! Puissent Ses feux et Sa colère te brûler pendant que je passerais ta langue au fil de mon épée ! ;Heresy! God is One and almighty, how dare you even spread the name of these barbaric ideas on these Holy grounds! May His fire and wrath burn you to ashes while I shall put your tongue to the sword!;
CombatE1C3I;...Dis... Est-ce qu'on peut faire semblant que tout va bien ? Juste une fois ? L'homme que tu étais me manque, tu sais....;... Tell me... Could we pretend everything is alright? Just this time? I miss the man you once were... ;
CombatE1C3RJ1;... Je ne peux pas faire semblant qu'un ami cher n'est pas mort. Surtout quand sa mort est de ma faute.;... I can't pretend a dear friend didn't die. Especially when I'm the one responsible for it. ;
CombatE1C3RE1;Tu n'as pas à te reprocher ma mort, j'ai fais ce que j'ai voulu et tu le sais ! Et ici, je peux continuer à le faire !;You don't have to feel guilty for my death, I did what I wanted and you know it! And here, I can continue doing so! ;
CombatE1C3RJ2;Sans mon intervention, tu aurais une femme et une famille à l'heure qu'il est... Et je t'ai volé ton futur...;Without my intervention, you'd have a wife and a family by now... And I stole your future away from you... ;
CombatE1C3RJ3;Comment ça ? Dhruv, tu es mort parce que tu n'étais pas à ta place, et après toutes ces années ici, tu n'as toujours pas voulu voir la vérité en face ?   ;What do you m.. Dhruv, you died because you weren't where you belonged, and after all these years in here, you still blind yourself with illusions? ;
CombatE1C3F1;Sans ton intervention, je me serais marié, aurais eu des enfant, suivi ce qu'on voulait de moi, puis je me serais pendu à 40 ans. Tu m'as aidé à faire ce que j'aimais, le combat ! En garde maintenant !;Without your intervention, I'd have been married, had children, followed what was wanted of me, and then I'd have hung myself by the time I was 40. You helped me doing what I loved, fighting! Now pick up your sword! ;
CombatE1C3F2; Pas à ma place ?! J'ai tué une dizaine d'ottoman a moi tout seul avant de me faire avoir dans le dos ! Laisse moi te montrer avant que tu ne me juges !;Not where I belonged?! I killed a dozen ottomans by myself before I was stabbed in the back! Let me show you before you judge me! ;
CombatE1C3RJ4;... Je suppose que je peux essayer, tu veux t'entrainer encore ?;... I suppose I can try. Do you want to train once more? ;
CombatE1C3RE2;Oui... Oui s'il te plait, cela fait si longtemps ! J'ai tellement hate d'en découdre avec toi et de prendre du plaisir comme à l'époque.;Yes... Please, it's been so long! I can't wait to battle you once more, and to feel that thrill like I used to. ;
CombatE1C3RJ5;Tu crois que tu arriveras à me battre ce coup-ci ? J'ai bien vieilli depuis la dernière fois qu'on s'est affrontés.;Do you truly think you can best me this time? I grew older since the last time we fought. ;
CombatE1C3RJ6;Quand je pense que la première fois que je t'avais entrainé, tu as fini en pleurant. Je n'aurais jamais cru que tu t'accrocherais autant. ;And to think the first time I trained you, you ended up in tears. I'd never have believed you'd end up loving it so much. ;
CombatE1C3F3;Tu était le meilleur guerrier du royaume. Tu n'es pas un vieil homme, tu es mon entraineur, mon maître et mon ami. Je ne connaitrais pas de plus grande félicité que le jour où j'arriverais à te battre ! ;You were the kingdom's best warrior. You're no old man, but my trainer, master, and friend. I'll never know higher felicity than the day I'll finally best you! ;
CombatE1C3F4;Tu m'avais fait tellement de bleus que j'étais mortifié à l'idée que mon père ne les trouve et me punisse ! Je pleurais de peur de ne pas pouvoir recommencer ! Mais je ne suis plus le même maintenant, viens me chercher !;You left so many bruises on me that I was mortified my father would find them and punish me! I was desperate to not being able to do it again! But I'm not the same anymore, come fight me now! ;
CombatE1C4I;Enfin ! Je n'ai fait qu'attendre notre nouvelle rencontre ! Quelle joie que de pouvoir se battre pour l'éternité ici à tes côtés !;Uncle. I have waited patiently for our next encounter. What a joy it is to fight by your side for all eternity!;
CombatE1C4RJ1;Ecoute Dhruv, il faut arreter ça. Ta dévotion est respectable, mais je n'aurais pas du t'enseigner l'art de l'épée, c'était une erreur. ;Dhruv, your devotion touches my soul but I should not have put a sword in your hands and try to teach you how to wield it. It was a mistake.;
CombatE1C4RE1;Pourquoi ? Après tout ce temps ?! Après tout ce que tu m'a appris ?!  Qu'ai-je fait de mal ?!;How can you say that? After everything I did. What did I do wrong? Tell me, I can do it better. I promise.;
CombatE1C4RJ2;Tu n'es pas fait pour ça. Tu n'a pas ce qu'il faut en toi. Tu ne pourras jamais être un guerrier. Ton cœur est vaillant mais ton corps ne peut pas le suivre ! ;You were not made to be a warrior. Your heart is willing but your flesh is weak. It is not your fault. It is simply your fate, accept it and move on.;
CombatE1C4RJ3;Je suis désolé Dhruv. Je voulais te faire plaisir, je voulais t'aider. Au lieu de cela, je t'ai mené à ta fin. Tu n'aurais jamais dû me suivre. Ta tendresse parle contre toi.;I truly am sorry Dhruv. You are too tender, too gentle to be a warrior. You could have been noble in other ways, I should have pushed you away. I just wanted to help but I killed you instead. ;
CombatE1C4F1;J'ai préfèré mourir en faisant ce que j'aime plutôt que de vivre en faisant ce que je n'aime pas, et je vais te le prouver encore une fois, en garde !;I died not only honourably but by pursuing what I love. I made my own choices. I will not disrespect you or myself by going down a different path. I'm a warrior and I will prove it to you.;
CombatE1C4F2;Nonsens ! Grâce à toi, j'ai atteint la gloire dans ma vie ! Et je t'en remercie, je suis fier de ce que j'ai acompli, même si pour toi ce n'est rien ! Et je continuerais encore jusqu’à ce que je te batte !;Nonsense ! It is thanks to you and all these hardships that I got what I wanted in life! I practiced and practiced and I will continue to do so until I can finally beat you! ;
CombatE1C4RJ4;Combien de temps comptes-tu encore perdre ici ? Cet endroit n'est pas pour nous ! Ne sais-tu pas que nous pouvons nous réincarner ? ;You don't have to lose time here, don't you know there is a path to reincarnation? This place isn't made for us. We can go back to the land of the living. ;
CombatE1C4RE2;Je peux enfin pratiquer ici ce dont j'ai été privé toute ma vie et toi tu veux me priver de cette liberté ?! Je pensais que toi, au moins, tu me comprendrais !;I can die a thousand times here. I can perfect everything you've ever taught me. I cannot leave now. You must understand, you are the one who taught me this, who made me this way. ;
CombatE1C4RJ5;Nous devons  à tout prix sortir d'ici ! Je te tirerais hors d'ici, quitte à emmener ton essence avec moi jusqu'à notre reincarnation ! Cette folie doit cesser !;Nephew, you must come back. I will take you with me, even if I have to carry your essence up until the end. This madness must come to an end! ;
CombatE1C4RJ6;Ce que j'ai pris pour une envie de jeunesse est en train de devenir une obsession Dhruv ! Tu dois cesser de te perdre et passer à autre chose !;This is no longer an interest, this is an obsession. Dhruv, stop this. Choose a different path, do not lose yourself on this one!;
CombatE1C4F3;Je refuse ! Plutôt rester mort mais libre que de retourner vivre une vie de contraintes et d'interdits ! ;I will not Uncle. You taught me to stand my ground and I do that here. Better free with the dead than restrained by the living.;
CombatE1C4F4;Pourquoi le voir comme un problême alors que je ne fais de mal a personne ? Je sais que tu es comme moi, toi aussi tu voulais juste qu'on te laisse tranquille et faire ce que tu aimais ! Ici je peux le faire encore et encore ! Je ne te laisserais pas m'arreter !;I've akways known that, deep down, you were like me. Yearning for a peaceful life, away from constraints and free to do what you love. Here, I have it all while harming no one, and I cannot let you strip that away from me. Even if that means dying a million more times, I will do so very gladly.  ;
Alea1C1I;Ah tiens, le revoilà ! Le grand roi daigne enfin rejoindre sa femme ! Quel honneur vous me faites là très cher !;Oh here comes the great, conquering king. Returning to his loving, lowly wife. Such an honour.;
Alea1C1RJ1;Quel plaisir de te revoir, Arya, comme toujours. ;As always, it is a pleasure to see you, Arya.;
Alea1C1RE1;J'espère que mon roi ne m'en veut pas pour la pauvreté de ma condition. Mon arrivée a été quelque peu brutale, tu t'en es bien assuré. ;I apologise for my condition. My trip was uncomfortable. You made sure of it.;
Alea1C1RJ2;Combien de fois encore vas-tu me reprocher le rite de sati, Arya ? Je ne contrôle pas nos rituels, sati est une tradition. ;How much longer can you blame me for what they did to you, Arya? I do not control our rituals. Sati is a tradition.;
Alea1C1RJ3;Je sais que tu n'approuves pas ma décision, mais le sati est une tradition sacrée. Tu te devais de suivre l'enseignement de nos ancêtres et me rejoindre dans la mort. Comme il en a toujours été le cas. ;I know you disapprove, but sati is a tradition. You were to join me in death. It is how it's always been done and was your duty to follow our ancestor's teachings.;
Alea1C1F1;Jusqu'à ce que tu m'entendes réellement. Tu aurais pu mais n'as rien fait pour qu'ils abandonnent cette tradition barbare ! C'est donc ça l'amour ? De me faire jeter sur un bûcher embrasé ? Quand je ferme les yeux, je n'entends que les sifflements du feu. Je souffre tellement !;Until you'll truly listen. You had power in your hands and wasted it by doing nothing to stop this barbaric tradition. Is this love? To have me thrown on a raging bonfire? I close my eyes and I can only feel flames. I'm suffering constantly !;
Alea1C1F2;Sais-tu seulement combien j'ai hurlé ? As tu déjà seulement imaginé sentir ta peau craqueler et se tordre sous les flammes ? Etais-ce la chaleur de ton amour que j'ai ressenti ? C'est donc cela le poids du mariage en ce monde ? Quelle malédiction. ;Did you know how long I screamed? Have you ever felt your skin shrivel and curl as flames embrace you? Was that your love I felt? Is this what it means to be married in our world? What a curse.;
Alea1C1RJ4;C'est donc comme ça que tu t'adresses à ton mari ? Je viens d'arriver et déjà tu me jettes ton venin au visage. Tu n'as jamais su te retenir de le cracher, et visiblement la Mort elle-même ne t'a pas appris la leçon. ;Is this how you talk to your husband? I've just arrived here and you lash out with such venom. You never knew how not to spit it, and apparently even Death herself hasn't taught you that.;
Alea1C1RE2;Notre fille a perdu ses deux parents. Méritait-elle cela ? J'aurais dû la voir grandir, la chérir et la guider, mais tous ces rêves ne sont plus que des cendres parce que tu as été assez imprudent pour mourir ! Et tu oses te plaindre de ma colère ?!;Our daughter lost both her parents. Did she deserve that? I should have seen her grow up, cherish her and guide her, but it all turned into ash because you were careless enough to die! And yet you complain that I lash out?;
Alea1C1RJ5;Notre tradition et notre histoire l'exigeaient. Comment notre nom aurait-il été retenu ? Comment notre fille l'aurait porté avec fierté si ses parents n'étaient pas morts honorablement ?;We must keep the traditions. What would our names and histories mean if we didn't honour them ? Our daughter can hold our head high knowing her parents died honourably.;
Alea1C1RJ6;Je la connais, notre fille est forte et suffisament agée désormais pour vivre sans nous. Elle n'aurait pas eu besoin de voir la réputation de sa mère trainée dans la boue parce qu'elle refusait de suivre les traditions. ;Don't talk to me about our daughter. She is strong and old enough. I raised her well. She didn't need to see her mother's reputation be tarnished because you wouldn't follow tradition.;
Alea1C1F3;Au bûcher avec tes histoires, apparemment plus importantes que ma vie. Tu crains pour ta réputation, mais elle a consumé tout ce que tu avais. Nous ne sommes que les dégâts collatéraux de ta fierté. Je ne vois pas de roi, seulement un lâche.;To hell with your histories, apparently they are worth more than my life. You fear for your reputation, yet it consumed everything else that you had. We're all the aftermath of your pride, and I see no King, only a coward.;
Alea1C1F4;Comme si elle avait besoin de voir sa mère mourir par les flammes ! Elle a à peine 10 ans ! Tu la connais si peu, pour ne pas savoir qu'elle doit être terrorisée et le coeur brisé. Je souffre ici, et je souffre encore plus de ne même pas pouvoir la consoler.;And she needed to see her mother aflame instead? She's barely 10! How little do you know her, to not realise how frightened and heartbroken she must be? I suffer here, and I suffer even more knowing I can't comfort her.;
Alea1C2I;J'en ai assez ! Je n'en peux plus ! Je veux que tu t'excuses ! Que tu reconnaisses tes torts ! Que tu souffres autant que j'ai souffert ! Pour une fois dans ta vie parle-moi, par les dieux ! Pourquoi as-tu fait de ma vie et de ma mort un enfer ?!;This is it, I've had enough! I demand apologies, I demand you take accountability for what you've done! I need you to suffer like I did! By the gods, for once in your bloody life, talk to me! Why did you make my life and death a living hell?!;
Alea1C2RJ1;Quels torts ?! Quelle souffrance ?! J'ai souffert, réellement souffert, à la guerre pendant que toi, tu restais en sécurité dans mon palais ! J'ai défendu mon pays pendant que toi, tu rendais ma vie aussi détestable que possible !;What I've done? Your suffering? You know nothing of pain, real pain! I fought at war, while you stayed safe and comfortable in my palace! While I was taking a break from defending my nation, you made it your life mission to make mine as loathsome as you possibly could! ;
Alea1C2RE1;La guerre, c'est bien la seule chose que tu as jamais eue à la bouche ! C'est elle ta vraie femme, moi j'étais à peine une amante qui n'avait même pas le droit à une caresse ! Tu n'avais qu'à l'épouser elle !;War, war, war! You embraced her more than you did me! She was the one, your true wife, whereas I barely lived as a concubine, not even deserving of a soft touch. You should have wed her instead !;
Alea1C2RJ2;... Quand je me réveillais la nuit, en sueur, à cause de visions de mort et de ruine, tu ne daignais même pas me donner un geste ou une parole réconfortante. Au mieux, tu me hurlais d'aller dans une autre pièce, comme on aboierait sur un chien mal dressé !;… You speak of soft caress, but when I woke up in the middle of the night, covered in sweat and haunted by visions of death and ruin, you never deigned to give me a soft touch or a kind word. At best, you barked at me to go sleep in another room, like you would a badly trained dog.;
Alea1C2RJ3;C'est donc ainsi que tu me vois réellement ? Un monstre sanguinaire qui aime plus la violence et le sang que sa propre femme ? ;So this is how you truly see me? A bloodthirsty monster, loving violence and spilled guts more than his wife?;
Alea1C2F1;Toutes les nuits pendant quatre ans ! Je n'en pouvais plus ! Si l'étiquette ne l'ordonnait pas, nous aurions dormi dans deux chambres séparées bien avant d'en arriver là !;It happened every single night for over four years! It was driving me mad, depriving both of us from sleep! We'd have slept in separate rooms long before that, if the protocol didn't command it. ;
Alea1C2F2;Parce que tu crois que je ne voyais pas dans tes yeux et ton pantalon le plaisir que tu prenais quand tu me battais moi ou notre fille ? L'homme doux que j'ai réussi à aimer jadis est mort quand tu as remporté ta première bataille !;Do you think I am naive? I saw in your eyes and in your pants the pleasure you took, beating me and our daughter. The kind man I fell in love with, an eternity ago, died when you won your first battle! ;
Alea1C2RJ4;J'ai fait tout ce que j'ai pu pour toi ! Je t'ai donné une condition et plus d'or que bien des femmes ne peuvent rêver de posséder ! Et c'est comme ça que tu me remercies ?!;I did everything I could for you, Arya! Gave you the condition of a queen, and more gold than any woman could ever dream of. And this is how you repay me?!  ;
Alea1C2RE2;Pff ! Pitoyable ! Un pitoyable mensonge de la part d'une loque qui ose encore s'appeler mon mari ! Tu te prétends guerrier mais tu n'arrives même pas à dire la vérité à ta propre femme !;Tsk! Pathetic! A wretched lie, coming from the rag that still has the audacity to call itself my husband! What a mighty warrior, not even able to speak truthfully to his own wife. ;
Alea1C2RJ5;Tu oses prétendre que tu n'as pas vécu dans un palais doré ? Que je ne te couvrais pas de cadeaux de la tête aux pieds quand je rentrais ? Que tu n'avais pas une vie de luxe ?!;What an ungrateful, spoilt woman. Could you deny living in a golden palace, being covered from head to toe by gifts whenever I laid foot in your presence, and living a life of utmost luxury?;
Alea1C2RJ6;... Dans d'autres circonstances, j'aurais peut-être pu faire plus. Mais cela faisait bien longtemps que tu ne me donnais plus de raison de le faire pour toi. ;… In other circumstances, I could have done better. But you stopped giving me reasons to try.;
Alea1C2F3;Tes cadeaux étaient sélectionnés par un serviteur, tu ne savais même pas ce que tu m'offrais ! Ils ne portent pas plus d'amour en eux que les mots creux que tu utilises pour pitoyablement essayer de te justifier. Je me moquais de tes cadeaux, c'était d'un mari aimant dont je voulais, pas d'objets vides de sens.;Those gifts you pride yourself on were chosen by a servant, you didn't know what you were giving me. They don't hold love, no more than the pitiful excuse of a reason you're blinding yourself with. Too self-absorbed to notice I didn't care about empty objects, when all I ever wanted was a loving husband.;
Alea1C2F4;Quand tu ne défoulais pas ta colère et tes coups sur moi, et que j'essayais de t'aider, tu me repoussais ! Tu ne m'as jamais laissée être à tes côtés, et c'est une vérité que tu refuses d'accepter ! ;When you weren't lashing out on me, I tried to help you. But you always pushed me back. Don't blame on me what you caused yourself, you never let me be by your side, and it's a truth you're blinding yourself to! ;
Alea1C2RJ7;C'est donc encore le rite de sati, hein ? J'ai essayé Arya, j'ai sincèrement essayé. Mais mes conseillers m'ont prévenu que le mécontentement serait trop grand. Rien n'est plus important en temps de guerre que la fidélité de son peuple.;This is about the sati rites again, isn't it ? I sincerely tried, Arya, I really did. But my counsellors warned me the risk of revolt we were facing. In times of war, nothing matters more than the loyalty of the people.;
Alea1C2RE3;C'était pour ça que j'ai brulé !? Pour ça que j'ai été consumé par les flammes ?! Pour ça que mes derniers instants m'ont fait souffrir le martyre ?! Pour du pouvoir ? Pour ne pas fragiliser ton précieux pouvoir ? J'aurais dû mettre fin à mes jours quand notre mariage a été arrangé !;THIS is why I was thrown on the pyre? THIS is why I was consumed by flames? THIS is why my last memories are nothing but excruciating pain ? For mere power? To not shake your precious sand castle? I should have drank poison the day our wedding was arranged !;
Alea1C2RJ8;J'ai essayé, Arya, vraiment. Je ne te l'ai pas dit parce que je ne voulais pas que tu vives dans la peur de ma mort...;I tried Arya, I truly and sincerely tried. But I didn't want you to live in fear of my passing, so I tried to protect you by shielding you with a lie. ;
Alea1C2RJ9;Non, c'était pour ne pas condamner un pays et des milliers de vies au prix de celle de ma femme ! Mes généraux ont commencé à s'insurger lorsque moi, qui me devais de diriger par l'exemple, demandait à être exempt de cette tradition ! J'ai dû me plier, même quand je les ai encouragés à abandonner le sati, rien n'a changé !;Of course not, I wasn't going to condemn an entire nation and thousands of lives in exchange for my wife's! Insurrection growled in my generals when I, as I was expected to lead by example, requested to be exempt of this tradition. Even when I suggested they abandon sati too, nothing changed! I had to yield.;
Alea1C2F5;... Mais j'ai vécu dans la peur. Et s'ajoutant à la peur j'avais la colère. Je croyais dur comme fer que tu te moquais de mon sort, que tu ne t'en étais jamais soucié. Tu aurais dû me le dire, beaucoup de choses auraient été différentes...;... But I did. I lived in fear, every day. And amidst the anguish, anger and resentment tortured me too. I believed you never cared about me. If only you had told me, so many things would have been different...;
Alea1C2F6;... Tu aurais dû me le dire. Je serais allée trouver chaque femme, mère, fille, tante de tes généraux et ensemble, nous leur aurions tous fait vivre l'enfer qu'ils nous forcent à subir ! Si seulement tu me l'avais dit, je n'aurais pas hésité, nous aurions pu faire tellement de choses ensemble. Si seulement tu avais osé me parler… Si seulement…;... If only you had told me. I would have gathered them all, every wife, mother, daughter of your generals. We would have them go through the same hell they were ready to throw us in! If only you had told me, I wouldn't have hesitated. We could have accomplished so much together... If only you had just talked to me. If only ...;
Alea1N1I;... [Silence];...[Silence];
Alea1N1RJ1;Eh bah alors, minus ? Tu te rappelles ma promesse ? Tu tiens ta langue tout seul maintenant que ton pote n'est plus là ?;Well, well, little one? Remember what promised? Holding your tongue now that your friend ain't here any more?;
Alea1N1RE1;Tu crois que tu es le premier à me menacer ainsi ? Je n'ai pas peur de toi, tu ne peux rien contre moi. Maintenant, cesse de m'ennuyer avant que je ne te mette une notation désastreuse !;Do you really think you're the first one to threaten me like this? I'm not afraid of you. You can't harm me. Now hush, stop bugging me before I give you a dire notation. ;
Alea1N1RJ2;Je vais te faire voir si je ne peux rien ! Tu crois que cette lame est un jouet ?! Que je bluffe ? Je veux des réponses !;You'll see if I can't harm you! You really think my sword is a toy or that I'm bluffing, don't you? Now, I want answers!;
Alea1N1RJ3;Tu as sacrément confiance en toi ! Tu crois que tu pourras m'arrêter avec tes parchemins ou que ta stupide notation a une importance pour moi ?;You have an awful lot of self-confidence to think you can stop me with these parchments or stupid notation. Do you really think they matter to me?;
Alea1N1F1;Penses-tu vraiment que cette arme et tes vêtements existent ? Ils sont ton âme et tes croyances matérialisés et ne sont là que parce que tu crois qu'ils existent. Sauf que ton âme est faible, ta lame est faible, donc maintenant du vent ! Je n'ai aucune réponse à te donner !;And you, do you really think your weapon or your clothes truly exist in here? They are your soul and beliefs materialised, and are by your side only because you believe them to exist. Except your soul is weak and so is your sword. Now hush! I don't have any answers to give you!;
Alea1N1F2;Même dénudé je t'arrêterai. Le doute et la peur t'habitent, tu t'affaiblis tout seul. En ce lieu, seul celui qui est convaincu au plus profond de lui-même d'être fort le devient et ne craint plus rien. Mais c'est une chose inimaginable pour un être humain que de n'avoir aucun doute et de croire en soi. Et toi, tu en es loin. Maintenant va, et ne reviens que lorsque tu auras appris cette leçon.;Even stripped from everything I would stop you. Doubt and fear inhabit you, and weaken your soul. In here, only one that is convinced deep down to be strong will be unstoppable. But to human beings, it is inconceivable to not doubt and to believe in oneself. And you, are so far away from that. Now be gone, and come back only when you'll have truly understood.;
Alea1N1RJ4;Qui êtes-vous, toi et ton ami ? Qu'est-ce que vous êtes ?;Who are you, you and your friend ? What exactly are you? ;
Alea1N1RE2;Des observateurs, rien de plus. Nous vous observons, vous les âmes, afin de décider quelle réincarnation vous sied. Si tant est que vous arriviez au bout. Là est notre rôle, rien de plus, rien de moins. ;Bystanders, nothing more. We observe you, the souls, then decide how best to reincarnate you. If you reach the end, that is. This is our role, nothing more, nothing less. ;
Alea1N1RJ5;Quelle est la force qui vous donne ce droit-là ? Êtes-vous des dieux ?;What power gives you that right? Are you gods? ;
Alea1N1RJ6;Un conseil à me donner pour arriver jusqu'au bout alors ? Une aide ? Quelque chose ?;Well then, any piece of wisdom to help me reach the end? Little help? Anything? ;
Alea1N1F3;Je n'ai pas à te répondre. Le strict nécessaire est communiqué aux âmes, toute information superflue ne ferait que vous déboussoler. Nous ne sommes pas si importants, ce qui compte c'est vous, et surtout votre parcours ici !;I don't have to answer you. The bare essential is communicated to you, souls. Any extraneous indication could trouble you. We're not that important. Not as crucial as you and your own path here, that is. ;
Alea1N1F4;"Toute aide directe nous est interdite, mais je peux te donner un conseil : tu es ici pour évoluer et comprendre. Réalise pourquoi tu as fait du tort à tes semblables et ne perds pas espoir. Tu sortiras d'ici tôt ou tard ; cet endroit n'est pas un enfer, mais un lieu d'apprentissage.";Any direct help is strictly forbidden, but I shall give you a piece of advice: You are here to understand and evolve. To realise why you did the things you did and hurt your peers. And don't lose hope, you'll be out of here eventually. This place is no hell, merely a place for learning.;
Alea1N2I;Oooooh, ça alors, c'est toi ! Alors comment vas-tu ?! Tu as l'air mieux que la dernière fois, c'est bien ! Je m'excuse encore pour mon collègue, il est un peu plus à cheval sur les règles que moi, mais il a bon fond, tu verras !;Oooooh, hey, it's you! How are you doing? You seem in much better shape than the last time I saw you, good for you! Apologies for my colleague, he's a little bit more rigid than I am, but he's a good lad, you'll see! ;
Alea1N2RJ1;Enfin quelqu'un d'amical ! Dis-moi, tu dois le savoir, sommes-nous ici dans le domaine des dieux ? Toute cette lumière, ces nuages, tout semble y faire allusion et pourtant, je n'y croise que des gens étranges !;Finally, a friendly face! Tell me, if anyone you should know, is this the gods' divine retreat? These blinding lights, fluffy clouds, everything points down to it, and yet, I only seem to encounter weird people here.;
Alea1N2RE1;Le domaine des dieux ?! Bien loin de là mon ami ! Ici, c'est le Passage, le lieu où les âmes perdues comme toi se rejoignent pour espérer accéder à leur nouvelle vie !;The gods' retreat?! Hah, far from it, my friend! In fact, we are in the Passage, a crossroad where lost souls like you gather, in the hopes to reincarnate. ;
